;date;description;link;name;raw_description;type;type_code
0;01/01/2012;O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR;http://www.calendario.com.br/feriados-nacionais/ano-novo.php;Ano Novo;;Feriado Nacional;1
1;20/02/2012;Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
2;21/02/2012;Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
3;22/02/2012;Ponto Facultativo até às 14h.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
4;06/03/2012;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;http://www.calendario.com.br/docs/pe/data_magna_pernambuco.html;Revolução Pernambucana;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;Feriado Estadual;2
5;01/04/2012;Dia da mentira, dia das petas, dia dos tolos ou dia dos bobos.;;Dia da Mentira;;Dia Convencional;9
6;06/04/2012;"Também chamada de ""Sexta Feira da Paixão"" é a sexta-feira que ocorre antes do domingo de Páscoa, e é o dia que os cristãos lembram da crucificação de Cristo.";http://www.calendario.com.br/feriados-nacionais/sexta-feira-santa.php;Sexta-Feira Santa;;Feriado Nacional;1
7;06/04/2012;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Sexta-feira Santa;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
8;08/04/2012;A Páscoa é um evento religioso cristão, normalmente considerado pelas igrejas ligadas a esta corrente religiosa como a maior e a mais importante festa da Cristandade. Na Páscoa os cristãos celebram a Ressurreição de Jesus Cristo depois da sua morte.;;Páscoa;;Dia Convencional;9
9;21/04/2012;Joaquim José da Silva Xavier, o Tiradentes foi um dentista, tropeiro, minerador, comerciante, militar e ativista político. É reconhecido como mártir da Inconfidência Mineira e herói nacional. O dia de sua execução, 21 de abril, é feriado nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-tiradentes.php;Dia de Tiradentes;;Feriado Nacional;1
10;01/05/2012;O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.;http://www.calendario.com.br/feriados-nacionais/dia-do-trabalho.php;Dia do Trabalho;;Feriado Nacional;1
11;13/05/2012;O Dia das Mães teve a sua origem no princípio do século XX, quando uma jovem norte-americana, Anna Jarvis, perdeu sua mãe e entrou em completa depressão. Preocupadas com aquele sofrimento, algumas amigas tiveram a ideia de criar uma data para comemorar o dia das mães.;;Dia das Mães;;Dia Convencional;9
12;07/06/2012;Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.;http://www.calendario.com.br/feriados-nacionais/corpus-christi.php;Corpus Christi;;Facultativo;4
13;12/06/2012;O Dia dos Namorados ou Dia de São Valentim é uma data comemorativa na qual se celebra a união amorosa entre casais sendo comum a troca de cartões e presentes.;;Dia dos Namorados;;Dia Convencional;9
14;24/06/2012;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;;Dia de São João;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;Feriado Estadual;2
