Código;Posto;Mês/Ano;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Acumulado
265;Recife (Alto da Brasileira);jan/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;46.0;0.0;53.0;82.0;0.0;0.0;61.0;0.0;0.0;9.0;25.0;30.0;104.0;344.0;850.0;359.0;19.0;0.0;128.0;0.0;0.0;0.0;23.0;115113
196;Recife (Codecipe / Santo Amaro);jan/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);jan/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;80.0;57.0;0.0;76.0;0.0;5.0;80.0;15.0;5.0;20.0;43.0;20.0;400.0;220.0;620.0;144.0;10.0;0.0;50.0;0.0;0.0;0.0;102.0;16116
378;Recife (Santo Amaro);jan/2012;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;37.0;20.0;0.0;66.0;0.0;105.0;0.0;0.0;0.0;0.0;45.0;81.0;226.0;837.0;70.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;102.0;19988
30;Recife (Várzea);jan/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;88.0;66.0;0.0;54.0;3.0;5.0;96.0;14.0;6.0;10.0;18.0;20.0;400.0;214.0;618.0;160.0;10.0;0.0;54.0;0.0;0.0;0.0;124.0;136579
480;Recife - PCD;jan/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;58.0;53.0;8.0;68.0;0.0;0.0;65.0;5.0;0.0;30.0;28.0;13.0;388.0;253.0;683.0;115.0;3.0;0.0;38.0;5.0;10.0;5.0;118.0;14188
265;Recife (Alto da Brasileira);fev/2012;0.0;0.0;8.0;0.0;7.0;7.0;15.0;8.0;0.0;0.0;0.0;8.0;0.0;0.0;35.0;16.0;8.0;458.0;502.0;;3.0;8.0;0.0;0.0;5.0;0.0;0.0;8.0;9.0;;;115113
196;Recife (Codecipe / Santo Amaro);fev/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);fev/2012;0.0;0.0;0.0;0.0;20.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;120.0;950.0;310.0;50.0;31.0;65.0;0.0;210.0;15.0;0.0;31.0;0.0;0.0;;;16116
378;Recife (Santo Amaro);fev/2012;0.0;0.0;0.0;0.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;12.0;0.0;0.0;0.0;69.0;471.0;0.0;0.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;19988
