,GRUPOSERVICO_DESCRICAO
ILUMINACAO PUBLICA,179218
LIMPEZA URBANA,91167
CONSERVACAO,90264
DRENAGEM,56370
PAVIMENTACAO,50733
ARBORIZACAO,39259
ILUMINACAO RELUZ,33037
ILUMINACAO PROVISORIA,13263
LUMINARIAS,11250
COLETA URBANA,10962
FISCALIZACAO URBANA,9570
TERRAPLENAGEM,3534
PLANEJAMENTO DE LIMPEZA URBANA,3207
MACRODRENAGEM,3192
PRACAS,2869
ESCADARIA,2741
TABLADOS,2541
POSTE,2350
VAO DE REDE,2141
SEMENTEIRA,1550
COLETA SELETIVA,1446
DENUNCIAS,1374
MANUT. URBANA,1099
CALCADAS ARVORES,451
PROJETOS,272
NECROPOLES,25
ATENDIMENTO EMPREL,14
ESTUDO ASFALTO,7
ESTRUTURA EVENTOS,1
INFRAESTRUTURA EVENTOS,1
