,SERVICO_DESCRICAO
MANUTENCAO EM LAMPADA APAGADA,149083
ACENDER CIRCUITO,14775
APAGAR LAMPADA,12504
APAGAR CIRCUITO,2521
IMPLANTACAO LAMPADA LED,288
INSP. E LEVANT. I.P - ESPECIAL,35
INSP. E LEVANT. I.P - CONVENCI,12
IMPLANTACAO DE VARRICAO,0
INFRA-ESTRUTURA PARA EVENTOS,0
INSTALACAO PROVISORIA DE QUADRO,0
IMPLANTACAO DE VAO DE REDE,0
INST. PLACA PROIBITIVA,0
INST. PROV. ,0
INST.PROV. ILUMINACAO PROJETORES,0
INST.PROV.DE TABLADOS E PALANQUES,0
INSTALACAO DE CONTENEDORES DE LIXO,0
INSTALACAO DE PAPELEIRAS,0
INSTALACAO PROVISORIA DE PONTO DE AC,0
"LIMP. DE GALERIAS,VALETAS,SARJETAS",0
LEVANTAMENTO TOPOGRAFICO,0
IMPLANTACAO DE PEV,0
LIMPEZA DE CANAL,0
LIMPEZA DE CANALETAS,0
LIMPEZA DE COQUEIROS PALMEIRAS,0
LIMPEZA DE ESCADARIAS,0
LIMPEZA DE LUMINARIA,0
LIMPEZA DE PRACAS,0
LIMPEZA DE PROPRIOS MUNICIPAIS,0
LIMPEZA DE RUAS - EVENTOS,0
MANUT. EM CAMPOS QUADRAS POLIESPORTIVAS,0
MANUT. EM LAMPADA APAGADA,0
MANUT. RECUP. EM MONUMENTOS,0
MANUT. RELUZ,0
IMPLANTACAO DE POSTE,0
VISTORIA INTERVENÇÃO INDEVIDA EM VIAS PÚBLICAS,0
IMPLANTACAO DE LUMINARIAS,0
MANUTENCAO EM PEV,0
ANALISE DE PROJETO,0
AVAL. INST. DE CESTAS DE LIXO,0
AVALIACAO E PARECER TECNICO,0
CAPINACAO DE PRACAS AREAS VERD,0
CAPINACAO EM LOGRADOUROS,0
CAPINACAO EM VIA NAO PAVIMENTADA,0
CAPINACAO EM VIA PAVIMENTADA,0
COBRANCAS E TAXAS IRREGULARES,0
COLETA COMPUTADORES,0
COLETA HOSPITALAR IRREGULAR,0
COLETA IRREGULAR DE LIXO,0
COMPOSICAO DE PRECOS E ORCAMEN,0
CONECTA RECIFE,0
CONSERTO DE CALCADAS E MUROS,0
