,BAIRRO,GRUPOSERVICO_DESCRICAO,VALUE
0,AFLITOS,ARBORIZACAO,5.278114659230517
1,AFLITOS,COLETA SELETIVA,2.4849066497880004
2,AFLITOS,COLETA URBANA,3.1354942159291497
3,AFLITOS,CONSERVACAO,5.356586274672012
4,AFLITOS,DENUNCIAS,0.0
5,AFLITOS,DRENAGEM,4.812184355372417
6,AFLITOS,FISCALIZACAO URBANA,2.995732273553991
7,AFLITOS,ILUMINACAO PROVISORIA,1.9459101490553132
8,AFLITOS,ILUMINACAO PUBLICA,5.476463551931511
9,AFLITOS,ILUMINACAO RELUZ,4.248495242049359
10,AFLITOS,LIMPEZA URBANA,4.2626798770413155
11,AFLITOS,LUMINARIAS,2.302585092994046
12,AFLITOS,MACRODRENAGEM,0.0
13,AFLITOS,MANUT. URBANA,0.0
14,AFLITOS,PAVIMENTACAO,5.043425116919247
15,AFLITOS,PLANEJAMENTO DE LIMPEZA URBANA,1.0986122886681098
16,AFLITOS,PRACAS,0.0
17,AFLITOS,SEMENTEIRA,2.6390573296152584
18,AFLITOS,VAO DE REDE,2.833213344056216
19,AFOGADOS,ARBORIZACAO,6.668228248417403
20,AFOGADOS,CALCADAS ARVORES,2.772588722239781
21,AFOGADOS,COLETA SELETIVA,3.4657359027997265
22,AFOGADOS,COLETA URBANA,6.075346031088684
23,AFOGADOS,CONSERVACAO,7.741967899820685
24,AFOGADOS,DENUNCIAS,3.9512437185814275
25,AFOGADOS,DRENAGEM,7.784889295655098
26,AFOGADOS,ESCADARIA,0.6931471805599453
27,AFOGADOS,FISCALIZACAO URBANA,5.631211781821365
28,AFOGADOS,ILUMINACAO PROVISORIA,5.736572297479192
29,AFOGADOS,ILUMINACAO PUBLICA,8.212297138229768
30,AFOGADOS,ILUMINACAO RELUZ,6.903747257584598
31,AFOGADOS,LIMPEZA URBANA,7.9291264873067995
32,AFOGADOS,LUMINARIAS,5.056245805348308
33,AFOGADOS,MACRODRENAGEM,4.624972813284271
34,AFOGADOS,MANUT. URBANA,2.8903717578961645
35,AFOGADOS,NECROPOLES,0.0
36,AFOGADOS,PAVIMENTACAO,7.094234845924755
37,AFOGADOS,PLANEJAMENTO DE LIMPEZA URBANA,4.59511985013459
38,AFOGADOS,POSTE,3.5553480614894135
39,AFOGADOS,PRACAS,4.343805421853684
40,AFOGADOS,PROJETOS,2.4849066497880004
41,AFOGADOS,SEMENTEIRA,3.8918202981106265
42,AFOGADOS,TABLADOS,4.23410650459726
43,AFOGADOS,TERRAPLENAGEM,5.030437921392435
44,AFOGADOS,VAO DE REDE,3.2188758248682006
45,AGUA FRIA,ARBORIZACAO,6.285998094508865
46,AGUA FRIA,CALCADAS ARVORES,1.9459101490553132
47,AGUA FRIA,COLETA SELETIVA,2.3978952727983707
48,AGUA FRIA,COLETA URBANA,6.0014148779611505
49,AGUA FRIA,CONSERVACAO,7.3343293503005365
50,AGUA FRIA,DENUNCIAS,3.332204510175204
51,AGUA FRIA,DRENAGEM,6.937314081223682
52,AGUA FRIA,ESCADARIA,5.19295685089021
53,AGUA FRIA,ESTUDO ASFALTO,0.0
54,AGUA FRIA,FISCALIZACAO URBANA,5.187385805840755
55,AGUA FRIA,ILUMINACAO PROVISORIA,5.808142489980444
56,AGUA FRIA,ILUMINACAO PUBLICA,7.900636613018005
57,AGUA FRIA,ILUMINACAO RELUZ,6.304448802421981
58,AGUA FRIA,LIMPEZA URBANA,7.853216388156072
59,AGUA FRIA,LUMINARIAS,5.170483995038151
60,AGUA FRIA,MACRODRENAGEM,4.584967478670572
61,AGUA FRIA,MANUT. URBANA,3.4011973816621555
62,AGUA FRIA,NECROPOLES,0.0
63,AGUA FRIA,PAVIMENTACAO,7.293697720601438
64,AGUA FRIA,PLANEJAMENTO DE LIMPEZA URBANA,4.962844630259907
65,AGUA FRIA,POSTE,3.091042453358316
66,AGUA FRIA,PRACAS,3.6635616461296463
67,AGUA FRIA,SEMENTEIRA,3.4965075614664802
68,AGUA FRIA,TABLADOS,4.07753744390572
69,AGUA FRIA,TERRAPLENAGEM,2.833213344056216
70,AGUA FRIA,VAO DE REDE,2.1972245773362196
71,ALTO DO MANDU,ARBORIZACAO,3.784189633918261
72,ALTO DO MANDU,CALCADAS ARVORES,0.6931471805599453
73,ALTO DO MANDU,COLETA SELETIVA,0.6931471805599453
74,ALTO DO MANDU,COLETA URBANA,3.5553480614894135
75,ALTO DO MANDU,CONSERVACAO,5.697093486505405
76,ALTO DO MANDU,DENUNCIAS,1.9459101490553132
77,ALTO DO MANDU,DRENAGEM,5.54907608489522
78,ALTO DO MANDU,ESCADARIA,1.6094379124341003
79,ALTO DO MANDU,FISCALIZACAO URBANA,3.258096538021482
80,ALTO DO MANDU,ILUMINACAO PROVISORIA,4.897839799950911
81,ALTO DO MANDU,ILUMINACAO PUBLICA,6.07993319509559
82,ALTO DO MANDU,ILUMINACAO RELUZ,4.330733340286331
83,ALTO DO MANDU,LIMPEZA URBANA,5.53338948872752
84,ALTO DO MANDU,LUMINARIAS,3.4339872044851463
85,ALTO DO MANDU,MACRODRENAGEM,1.6094379124341003
86,ALTO DO MANDU,PAVIMENTACAO,5.153291594497779
87,ALTO DO MANDU,PLANEJAMENTO DE LIMPEZA URBANA,2.9444389791664403
88,ALTO DO MANDU,POSTE,2.6390573296152584
89,ALTO DO MANDU,SEMENTEIRA,1.0986122886681098
90,ALTO DO MANDU,TABLADOS,3.8066624897703196
91,ALTO DO MANDU,TERRAPLENAGEM,0.0
92,ALTO DO MANDU,VAO DE REDE,1.0986122886681098
93,ALTO JOSE BONIFACIO,ARBORIZACAO,4.997212273764115
94,ALTO JOSE BONIFACIO,CALCADAS ARVORES,0.0
95,ALTO JOSE BONIFACIO,COLETA SELETIVA,0.6931471805599453
96,ALTO JOSE BONIFACIO,COLETA URBANA,4.718498871295094
97,ALTO JOSE BONIFACIO,CONSERVACAO,6.464588303689961
98,ALTO JOSE BONIFACIO,DENUNCIAS,2.4849066497880004
99,ALTO JOSE BONIFACIO,DRENAGEM,5.755742213586912
100,ALTO JOSE BONIFACIO,ESCADARIA,5.783825182329737
101,ALTO JOSE BONIFACIO,FISCALIZACAO URBANA,4.51085950651685
102,ALTO JOSE BONIFACIO,ILUMINACAO PROVISORIA,4.672828834461906
103,ALTO JOSE BONIFACIO,ILUMINACAO PUBLICA,7.1284959456800365
104,ALTO JOSE BONIFACIO,ILUMINACAO RELUZ,5.003946305945459
105,ALTO JOSE BONIFACIO,LIMPEZA URBANA,7.029087564149662
106,ALTO JOSE BONIFACIO,LUMINARIAS,4.442651256490317
107,ALTO JOSE BONIFACIO,MACRODRENAGEM,4.060443010546419
108,ALTO JOSE BONIFACIO,MANUT. URBANA,2.995732273553991
109,ALTO JOSE BONIFACIO,PAVIMENTACAO,5.7745515455444085
110,ALTO JOSE BONIFACIO,PLANEJAMENTO DE LIMPEZA URBANA,4.143134726391533
111,ALTO JOSE BONIFACIO,POSTE,2.833213344056216
112,ALTO JOSE BONIFACIO,PRACAS,3.332204510175204
113,ALTO JOSE BONIFACIO,PROJETOS,0.0
114,ALTO JOSE BONIFACIO,SEMENTEIRA,0.0
115,ALTO JOSE BONIFACIO,TABLADOS,3.6888794541139363
116,ALTO JOSE BONIFACIO,VAO DE REDE,1.6094379124341003
117,ALTO JOSE DO PINHO,ARBORIZACAO,4.836281906951478
118,ALTO JOSE DO PINHO,COLETA SELETIVA,0.6931471805599453
119,ALTO JOSE DO PINHO,COLETA URBANA,4.836281906951478
120,ALTO JOSE DO PINHO,CONSERVACAO,6.113682179832232
121,ALTO JOSE DO PINHO,DENUNCIAS,1.791759469228055
122,ALTO JOSE DO PINHO,DRENAGEM,5.652489180268651
123,ALTO JOSE DO PINHO,ESCADARIA,4.477336814478207
124,ALTO JOSE DO PINHO,FISCALIZACAO URBANA,3.912023005428146
125,ALTO JOSE DO PINHO,ILUMINACAO PROVISORIA,4.976733742420574
126,ALTO JOSE DO PINHO,ILUMINACAO PUBLICA,6.656726524178391
127,ALTO JOSE DO PINHO,ILUMINACAO RELUZ,4.653960350157523
128,ALTO JOSE DO PINHO,LIMPEZA URBANA,6.406879986069314
129,ALTO JOSE DO PINHO,LUMINARIAS,4.1588830833596715
130,ALTO JOSE DO PINHO,MACRODRENAGEM,1.0986122886681098
131,ALTO JOSE DO PINHO,MANUT. URBANA,2.302585092994046
132,ALTO JOSE DO PINHO,PAVIMENTACAO,5.278114659230517
133,ALTO JOSE DO PINHO,PLANEJAMENTO DE LIMPEZA URBANA,3.970291913552122
134,ALTO JOSE DO PINHO,POSTE,2.772588722239781
135,ALTO JOSE DO PINHO,PRACAS,2.995732273553991
136,ALTO JOSE DO PINHO,SEMENTEIRA,1.791759469228055
137,ALTO JOSE DO PINHO,TABLADOS,2.6390573296152584
138,ALTO JOSE DO PINHO,TERRAPLENAGEM,1.0986122886681098
139,ALTO JOSE DO PINHO,VAO DE REDE,0.0
140,ALTO SANTA TEREZINHA,ARBORIZACAO,4.127134385045092
141,ALTO SANTA TEREZINHA,ATENDIMENTO EMPREL,0.0
142,ALTO SANTA TEREZINHA,CALCADAS ARVORES,0.6931471805599453
143,ALTO SANTA TEREZINHA,COLETA SELETIVA,0.0
144,ALTO SANTA TEREZINHA,COLETA URBANA,3.9512437185814275
