,GRUPOSERVICO_DESCRICAO
GRUPOSERVICO_DESCRICAO,1.0
DOMICILIOS,0.8503010884030784
NUM_MULHERES,0.8477682893348939
HABITANTES,0.8417759700086349
NUM_HOMENS,0.8361292932795815
18_24ANOS,0.8278798081955505
25_59ANOS,0.8235799846836303
15_17ANOS,0.8167023695172669
60_ANOS,0.8165910471042932
0_4ANOS,0.8083084981961155
5_14ANOS,0.8015692111009685
HECTARES,0.7594030366932298
INDIGENA,0.2620237439511163
AMARELA,0.22780580090145372
0_4ANOS%,0.13715970188022122
PRETA,0.1329716139414675
PARDA,0.11269131985031641
5_14ANOS%,0.10650772149094687
MULHERES_RESPONSAVEIS,0.09388241669475708
15_17ANOS%,0.07076851943436661
DENSIDADE,0.06266684487576514
18_24ANOS%,0.042869012372500535
POR_HOMENS,0.039179987358933986
MEDIA_MORADORES,-0.014551863384449889
POR_MULHERES,-0.035986634157265385
60_ANOS%,-0.06595816159593947
25_59ANOS%,-0.09160299828949364
BRANCA,-0.11083416417414424
RENDA,-0.11616599476931525
CRESCIMENTO_ANUAL,-0.11880773227788081
ALFABETIZADOS,-0.1325825745845582
