SERVICO_DESCRICAO,count,corr
LIMPEZA DE ESCADARIAS,3053,0.10875974252778273
INSTALACAO DE CONTENEDORES DE LIXO,241,0.08574216432885727
IMPLANTACAO DE VARRICAO,811,0.08066522329033754
INST.PROV. ILUMINACAO PROJETORES,4965,0.06553096723049119
INST.PROV.DE TABLADOS E PALANQUES,3106,0.03935998598688701
COLETA COMPUTADORES,86,-0.04278156048523469
POSICIONAR LUMINARIA,1472,-0.12675380255509008
PANFLETAGEN IRREGULAR EM VIAS PUBLICAS,26,-0.1693020132505654
QUEDA DE ARVORE,2877,-0.19733065423706683
"REMOCAO DE UTILITARIOS DOMESTICOS GELADEIRA,SOFA,ETC",3757,-0.19779073757090102
