SERVICO_DESCRICAO,count,corr
ACAO EDUC. E INFORMATIVA,112,1.0
PROJETO DE PAVIMENTACAO E DRENAGEM,3,1.0
ELABORACAO DE PROJETOS,3,1.0
RECUP. DE PONTES E PONTILHOES,10,0.9914297124744831
INSP. E LEVANT. I.P - CONVENCI,14,0.9838617440813204
CONTROLE TECNOLOGICO DO ASFALTO,6,0.944911182523068
REMOCAO DE METRALHA OU BARRO,10947,0.9351491259079038
PALESTRA COLETA SELETIVA,253,0.8864589308597338
MUDANCA DE PONTO DE CONFINAMENTO DE LIXO,1386,0.8100585838603754
REMOCAO DE AREIA OU BARRO DE ENXURRADA,351,0.759729102522633
